category,employee,runtimeMinutes,ProductionCompanies
actor,Samuel L. Jackson,140,Lucasfilm
actor,Samuel L. Jackson,101,"Original Film, Columbia Pictures Corporation, Revolution Studios"
actor,Samuel L. Jackson,115,"Walt Disney Pictures, Pixar Animation Studios"
actor,Samuel L. Jackson,142,Lucasfilm
actor,Samuel L. Jackson,117,"Original Film, Columbia Pictures Corporation, Camelot Pictures, Chris Lee Productions, Illusion Entertainment"
actor,Samuel L. Jackson,124,"Paramount Pictures, Marvel Studios"
actor,Samuel L. Jackson,97,"Remstar Productions, ApolloMedia Distribution, Kismet Entertainment Group, Seven Arts Films"
actor,Samuel L. Jackson,105,New Line Cinema
actor,Samuel L. Jackson,98,Paramount Pictures
actor,Samuel L. Jackson,98,"Intermedia Films, Krane Entertainment"
actor,Samuel L. Jackson,124,"Columbia Pictures, Original Film, Revolution Studios"
actor,Samuel L. Jackson,113,"Scott Rudin Productions, Revolution Studios"
actor,Samuel L. Jackson,104,"The Weinstein Company, Di Bonaventura Pictures, Dimension Films"
actor,Samuel L. Jackson,116,Paramount Classics
actor,Tommy Lee Jones,88,"Columbia Pictures, Amblin Entertainment, Columbia Pictures Corporation, Parkes+MacDonald Image Nation"
actor,Tommy Lee Jones,137,"Columbia Pictures, Imagine Entertainment, Revolution Studios, Daniel Ostroff Productions"
actor,Tommy Lee Jones,100,"Revolution Studios, Bel Air Entertainment"
actor,Tommy Lee Jones,122,"Miramax Films, Scott Rudin Productions, Paramount Vantage, Mike Zoss Productions"
actor,Tommy Lee Jones,121,"Summit Entertainment, Blackfriars Bridge Films, NALA Films, Samuels Media, Warner Independent Pictures (WIP)"
actor,Tommy Lee Jones,94,"Lakeshore Entertainment, Alphaville Films"
actor,Tommy Lee Jones,105,"River Road Entertainment, GreeneStreet Films, Picturehouse Entertainment, Sandcastle 5 Productions, Prairie Home Productions"
actress,Milla Jovovich,101,"Media Talent Group, Möbius Entertainment"
actress,Milla Jovovich,88,"Screen Gems, Ultravi Productions"
actress,Milla Jovovich,97,"Remstar Productions, ApolloMedia Distribution, Kismet Entertainment Group, Seven Arts Films"
actress,Ashley Judd,97,"Firm Films, Bold Films, Holly Wiersma Productions"
actress,Ashley Judd,102,"Lions Gate Films, L.I.F.T. Production, DMK Mediafonds International"
actress,Ashley Judd,115,"Twentieth Century Fox Film Corporation, Regency Enterprises, Monarch Pictures, Epsilon Motion Pictures, New Regency Pictures, Manifest Film Company"
actress,Ashley Judd,116,"All Girl Productions, Gaylord Productions"
actress,Ashley Judd,97,"Fox 2000 Pictures, Lynda Obst Productions"
actor,Harvey Keitel,131,"Walt Disney Pictures, Jerry Bruckheimer Films, Saturn Films, Junction Entertainment"
actress,Nicole Kidman,102,"Columbia Pictures Corporation, Red Wagon Entertainment, Bewitched"
actress,Nicole Kidman,93,"Paramount Pictures, De Line Pictures, DreamWorks Pictures"
actress,Nicole Kidman,155,"Home Box Office (HBO), Attaboy Films, For Whom Productions"
actress,Nicole Kidman,122,"River Road Entertainment, Edward R. Pressman Film, Iron Film"
actress,Nicole Kidman,110,"Paramount Pictures, Miramax Films, Scott Rudin Productions"
actor,Val Kilmer,99,Millennium Films
actor,Val Kilmer,103,"Castle Rock Entertainment, Darkwoods Productions, Humble Journey Films"
actor,Val Kilmer,126,"Jerry Bruckheimer Films, Scott Free Productions, Touchstone Pictures"
actor,Val Kilmer,94,"Fathom Studios, Electric Eye Entertainment Corporation"
actor,Val Kilmer,103,"Silver Pictures, Warner Bros."
actor,Val Kilmer,137,"Columbia Pictures, Imagine Entertainment, Revolution Studios, Daniel Ostroff Productions"
actor,Kevin Kline,105,"River Road Entertainment, GreeneStreet Films, Picturehouse Entertainment, Sandcastle 5 Productions, Prairie Home Productions"
actor,Kevin Kline,125,New Line Cinema
actress,Diane Lane,124,"Regency Enterprises, Fox 2000 Pictures, Epsilon Motion Pictures, Unfaithful Filmproduktion GmbH & Co. KG"
actress,Diane Lane,98,"Team Todd, Warner Bros., Ubu Productions"
actress,Diane Lane,106,Original Film
actor,Jude Law,128,"Columbia Pictures Corporation, Rising Star, Relativity Media, Phoenix Pictures, VIP 4 Medienfonds"
actor,Jude Law,146,"DreamWorks SKG, Amblin Entertainment, Stanley Kubrick Productions, Warner Bros."
actor,Jude Law,104,Columbia Pictures
actor,Jude Law,170,"Miramax Films, Appian Way, Forward Pass, Cappa Productions, Warner Bros., Initial Entertainment Group (IEG), IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG, Mel's Cite du Cinema"
actress,Heather Locklear,92,"GreeneStreet Films, Metro-Goldwyn-Mayer (MGM)"
actress,Jennifer Lopez,105,Red Om Films
actress,Jennifer Lopez,115,Winkler Films
actress,Jennifer Lopez,112,"Mosaic Media Group, El Norte Productions, Nuyorican Productions, Mobius Entertainment Ltd."
actress,Jennifer Lopez,103,"Columbia Pictures Corporation, Intermedia Films, Dee Gee Entertainment, Tapestry Films, Prufrock Pictures, IMF Internationale Medien und Film GmbH & Co. Produktions KG"
actress,Jennifer Lopez,121,"City Light Films, Revolution Studios, Casey Silver Productions"
actress,Jennifer Lopez,102,"Epsilon Motion Pictures, Morgan Creek Productions, The Canton Company, AE Two Film Productions, Angel Eyes Productions"
actress,Jennifer Lopez,106,Miramax Films
writer,George Lucas,142,Lucasfilm
director,George Lucas,140,Lucasfilm
writer,George Lucas,122,"Lucasfilm, Paramount Pictures"
archive_footage,Madonna,89,"Miramax Films, Qatsi Productions, IRE Productions, Santa Fe Institute for Regional Education"
actor,Steve Martin,95,Numb Gums Production Inc.
actor,Steve Martin,94,"Twentieth Century Fox Film Corporation, 21 Laps Entertainment, Dozen Canada Productions"
