tconst,primaryTitle,category,averageRating,employee,runtimeMinutes,ProductionCompanies,profit_ratio
tt0365737,Syriana,actor,7.0,George Clooney,128,"Section Eight, Warner Bros., Participant Media, FilmWorks, 4M, MID Foundation",0
tt0452624,The Good German,actor,6.0,George Clooney,105,"Warner Bros., Section Eight Productions, Sunset Gower Studios",0
tt0349903,Ocean's Twelve,actor,7.0,George Clooney,125,"Village Roadshow Pictures, Section Eight, Jerry Weintraub Productions, Warner Bros., WV Films III",2
tt0465538,Michael Clayton,actor,7.0,George Clooney,119,"Castle Rock Entertainment, Mirage Enterprises, Section Eight Productions",2
tt0475290,"Hail, Caesar!",actor,6.0,George Clooney,106,"Universal Pictures, Mike Zoss Productions, Working Title Films",1
tt0138524,Intolerable Cruelty,actor,6.0,George Clooney,100,"Imagine Entertainment, Universal Pictures, Mike Zoss Productions, Alphaville Productions",0
tt0270288,Confessions of a Dangerous Mind,actor,7.0,George Clooney,113,"Miramax Films, Allied Filmmakers, Mad Chance",0
tt0240772,Ocean's Eleven,actor,8.0,George Clooney,116,"Village Roadshow Pictures, Section Eight, NPV Entertainment, Jerry Weintraub Productions, Warner Bros., WV Films II",4
tt0270288,Confessions of a Dangerous Mind,director,7.0,George Clooney,113,"Miramax Films, Allied Filmmakers, Mad Chance",0
tt0268978,A Beautiful Mind,actress,8.0,Jennifer Connelly,135,"Imagine Entertainment, DreamWorks SKG, Universal Pictures",4
tt0404203,Little Children,actress,8.0,Jennifer Connelly,137,"New Line Cinema, Standard Film Company, Bona Fide Productions",0
tt0472033,9,actress,7.0,Jennifer Connelly,79,"Focus Films, Starz Animation, Relativity Media, Tim Burton Productions, Arc Productions",0
tt0286716,Hulk,actress,6.0,Jennifer Connelly,138,"Universal Pictures, Good Machine, Valhalla Motion Pictures, Marvel Enterprises",0
tt0315983,House of Sand and Fog,actress,8.0,Jennifer Connelly,126,"DreamWorks SKG, Cobalt Media Group, Bisgrove Entertainment",0
tt0382628,Dark Water,actress,6.0,Jennifer Connelly,105,"Vertigo Entertainment, Touchstone Pictures, Post No Bills Films, Pandemonium Productions",0
tt0316356,Open Range,actor,7.0,Kevin Costner,139,"Tig Productions, Touchstone Pictures, Beacon Pictures, Cobalt Media Group",2
tt0406816,The Guardian,actor,7.0,Kevin Costner,139,"Contrafilm, Firm Films, Touchstone Pictures, Beacon Pictures, Eyetronics",0
tt0233142,3000 Miles to Graceland,actor,6.0,Kevin Costner,125,"Franchise Pictures, Warner Bros., Morgan Creek Productions",0
tt0398375,Rumor Has It...,actor,6.0,Kevin Costner,97,"Village Roadshow Pictures, Section Eight, Spring Creek Productions, Warner Bros.",0
tt0316356,Open Range,producer,7.0,Kevin Costner,139,"Tig Productions, Touchstone Pictures, Beacon Pictures, Cobalt Media Group",2
tt0316356,Open Range,director,7.0,Kevin Costner,139,"Tig Productions, Touchstone Pictures, Beacon Pictures, Cobalt Media Group",2
