tconst,primaryTitle,category,averageRating,employee,runtimeMinutes,ProductionCompanies,profit_ratio
tt0126029,Shrek,editor,8.0,Sim Evan-Jones,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",7
tt0126029,Shrek,producer,8.0,Aron Warner,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",7
tt0126029,Shrek,producer,8.0,Jeffrey Katzenberg,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",7
tt0126029,Shrek,producer,8.0,John H. Williams,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",7
tt0126029,Shrek,production_designer,8.0,James Hegedus,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",7
tt0126029,Shrek,writer,8.0,Joe Stillman,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",7
tt0126029,Shrek,writer,8.0,Ted Elliott,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",7
tt0126029,Shrek,writer,8.0,Terry Rossio,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",7
tt0126029,Shrek,writer,8.0,William Steig,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",7
tt0133152,Planet of the Apes,actor,6.0,Cary-Hiroyuki Tagawa,120,"Twentieth Century Fox Film Corporation, Tim Burton Productions, Zanuck Company, The",2
tt0133152,Planet of the Apes,actor,6.0,David Warner,120,"Twentieth Century Fox Film Corporation, Tim Burton Productions, Zanuck Company, The",2
tt0133152,Planet of the Apes,actor,6.0,Erick Avari,120,"Twentieth Century Fox Film Corporation, Tim Burton Productions, Zanuck Company, The",2
tt0133152,Planet of the Apes,actor,6.0,Kris Kristofferson,120,"Twentieth Century Fox Film Corporation, Tim Burton Productions, Zanuck Company, The",2
tt0133152,Planet of the Apes,actor,6.0,Mark Wahlberg,120,"Twentieth Century Fox Film Corporation, Tim Burton Productions, Zanuck Company, The",2
tt0133152,Planet of the Apes,actor,6.0,Michael Clarke Duncan,120,"Twentieth Century Fox Film Corporation, Tim Burton Productions, Zanuck Company, The",2
tt0133152,Planet of the Apes,actor,6.0,Paul Giamatti,120,"Twentieth Century Fox Film Corporation, Tim Burton Productions, Zanuck Company, The",2
tt0133152,Planet of the Apes,actor,6.0,Tim Roth,120,"Twentieth Century Fox Film Corporation, Tim Burton Productions, Zanuck Company, The",2
tt0133152,Planet of the Apes,actress,6.0,Estella Warren,120,"Twentieth Century Fox Film Corporation, Tim Burton Productions, Zanuck Company, The",2
tt0133152,Planet of the Apes,actress,6.0,Helena Bonham Carter,120,"Twentieth Century Fox Film Corporation, Tim Burton Productions, Zanuck Company, The",2
tt0133152,Planet of the Apes,casting_director,6.0,Denise Chamian,120,"Twentieth Century Fox Film Corporation, Tim Burton Productions, Zanuck Company, The",2
tt0133152,Planet of the Apes,cinematographer,6.0,Philippe Rousselot,120,"Twentieth Century Fox Film Corporation, Tim Burton Productions, Zanuck Company, The",2
tt0133152,Planet of the Apes,composer,6.0,Danny Elfman,120,"Twentieth Century Fox Film Corporation, Tim Burton Productions, Zanuck Company, The",2
tt0133152,Planet of the Apes,director,6.0,Tim Burton,120,"Twentieth Century Fox Film Corporation, Tim Burton Productions, Zanuck Company, The",2
tt0133152,Planet of the Apes,editor,6.0,Chris Lebenzon,120,"Twentieth Century Fox Film Corporation, Tim Burton Productions, Zanuck Company, The",2
tt0133152,Planet of the Apes,producer,6.0,Richard D. Zanuck,120,"Twentieth Century Fox Film Corporation, Tim Burton Productions, Zanuck Company, The",2
tt0133152,Planet of the Apes,production_designer,6.0,Rick Heinrichs,120,"Twentieth Century Fox Film Corporation, Tim Burton Productions, Zanuck Company, The",2
